20
48,,52,,78,,106,,200,,,209,,219,,221,,223,,225,
,50,,54,,80,,108,,202,207,,211,,231,,229,,227,,
46,,,,,,,,,,,,,,,,,,,237,
,42,,,75,,,,,,,,,,,242,,,239,,
40,,,57,,83,,,,,,,,,310,,312,,,315,
,38,,,73,,101,,,,,,,308,,320,,,317,,
36,,,,,85,,99,,,,,306,,322,,,,,357,
,34,,,,,97,,,,,,,324,,,,,355,,
32,,,,,,,,,,,,,,,,,,,359,
,30,,,,,,,,,,,,,,,,,353,,
,9,,,,,,,,,,,,,,,,,362,,
27,,,,,,,,,,,,,,,,,,,370,
,11,,,,,122,,,,,,,333,,,,,372,,
25,,,,,154,,170,,,,,335,,339,,,,,380,
,13,,,146,,156,,,,,,,337,,397,,,388,,
23,,,142,,152,,,,,,,,,293,,395,,,382,
,15,,,148,,,,,,,,,,,399,,,386,,
21,,,,,,,,,,,,,,,,,,,384,
,17,,139,,137,,165,,177,180,,272,,286,,284,,282,,
19,,133,,135,,161,,163,,,270,,274,,276,,278,,280,
